date,open,high,low,close,adj_close,volume,spike,rel_sent,rel_sent_score,relevant,day_sent,day_sent_score
2016-01-04,0.05664700589829427,0.04974538222372099,0.05150372231501579,0.05395689920985128,0.05395689920985128,0.34314711593534775,1.0,0.0,0.9972003698348999,1.0,1.0,0.998370036482811
2016-01-05,0.05953613669715144,0.05088579399286278,0.05280864425357651,0.04938933912397414,0.04938933912397414,0.28848679155665446,1.0,0.0,0.9019627230507987,1.0,1.0,0.979628410604265
2016-01-06,0.049254802759509,0.0652981935167142,0.05099398638630312,0.06928804924736515,0.06928804924736515,0.5570753530866267,1.0,1.0,0.9684610300593905,1.0,1.0,0.9219783431007749
2016-01-07,0.07131186766609068,0.0736939467944415,0.0659394478940461,0.06309203725470564,0.06309203725470564,0.5673955408407024,1.0,2.0,0.924108604590098,1.0,1.0,0.9586383457537051
2016-01-08,0.07125209441494951,0.06492460574051301,0.06351309875654262,0.05679673621941189,0.05679673621941189,0.2955153458223321,1.0,1.0,0.9953629523515701,1.0,1.0,0.9628063035011292
2016-01-11,0.06288355034151072,0.06309602076097526,0.06371699108908399,0.06390626221514681,0.06390626221514681,0.36280262073397307,1.0,2.0,0.9993762175242106,1.0,1.0,0.9998215039571127
2016-01-12,0.07081374063568008,0.0650425750325585,0.07162810289742322,0.06710356321181082,0.06710356321181082,0.2442880991296816,1.0,1.0,0.9748034808370802,1.0,1.0,0.9454739570617676
2016-01-13,0.0674663249988127,0.05855405555069321,0.05011724058891734,0.04720483720121976,0.04720483720121976,0.415210315298325,1.0,1.0,0.8499109347661337,1.0,1.0,0.9743884262584505
2016-01-14,0.0499721076758084,0.04827071691764215,0.043347947455613045,0.04819778720456264,0.04819778720456264,0.39326376374278804,1.0,2.0,0.9477827615208096,1.0,1.0,0.9340978264808655
2016-01-15,0.04355622753910354,0.040897390387247906,0.04438781282807433,0.04220037514207178,0.04220037514207178,0.32534086305407706,1.0,1.0,0.9976177130426679,1.0,1.0,0.9330488244692484
2016-01-19,0.051805211162703174,0.05002065111463533,0.05219697133383991,0.04984608619601183,0.04984608619601183,0.6038235335205286,1.0,2.0,0.9838449239730835,1.0,1.0,0.9746975085952065
2016-01-20,0.05646768813737896,0.04972571608719914,0.034865949757609066,0.04954819920910894,0.04954819920910894,0.9056864059902491,1.0,1.0,0.9886172194229929,1.0,1.0,0.9791040203788064
2016-01-21,0.05529210037557741,0.046815717748085184,0.045162605322886434,0.03884419817307286,0.03884419817307286,0.5218330469524887,1.0,0.0,0.9906412592301002,1.0,1.0,0.9406626082602001
2016-01-22,0.0481190731301728,0.03989461404667349,0.039290453540947595,0.03560718711987512,0.03560718711987512,0.44839207633097244,1.0,1.0,0.9331538942125108,1.0,1.0,0.9770678579807281
2016-01-25,0.03827607902424296,0.03535264883639147,0.03884188388473675,0.03242975108097798,0.03242975108097798,0.3348752497101267,1.0,0.0,0.9933599233627319,1.0,1.0,0.8801868319511413
2016-01-26,0.03819637670686915,0.031164605265788764,0.03038026339021896,0.029867938086453383,0.029867938086453383,0.36565769805680115,1.0,1.0,0.9998540282249451,1.0,1.0,0.9744069145785438
2016-01-27,0.031959832263652704,0.025855800332802853,0.0216943590870676,0.016602126041792703,0.016602126041792703,0.4262918570051548,1.0,1.0,0.9657740611018557,1.0,1.0,0.9833013441251672
2016-01-28,0.026440574804162564,0.020743631204170332,0.020715676298657837,0.023076164035388202,0.023076164035388202,0.40893613008675245,1.0,2.0,0.9257069144930158,1.0,1.0,0.951171894868215
2016-01-29,0.022774367830372982,0.019052679686979518,0.021775918874605366,0.017972385131005825,0.017972385131005825,0.3373688585278627,1.0,1.0,0.9521218687295914,1.0,1.0,0.9816927357956216
2016-02-01,0.022355943117336213,0.024538436591813262,0.023142023397217604,0.022440660146048702,0.022440660146048702,0.3237587835100513,1.0,2.0,0.9980252683162689,1.0,1.0,0.9874587257703146
2016-02-02,0.029827848573495325,0.023496343707958334,0.02197982547975269,0.017277324100465813,0.017277324100465813,0.36255989550591616,1.0,1.0,0.9395063271125158,1.0,1.0,0.9826059818267823
2016-02-03,0.02359130413027888,0.015710110891862028,0.012621065672813209,0.01578789909545153,0.01578789909545153,0.45964125560538116,1.0,0.0,0.9674679160118103,1.0,1.0,0.9831371545791626
2016-02-04,0.0177930975262669,0.012878749571749837,0.013436647236640897,0.013742424074465215,0.013742424074465215,0.3137022756799799,2.0,1.0,0.9683766577925,1.0,1.0,0.9799259131153425
2016-02-05,0.015262618189305382,0.008356436734446804,0.0038943906511396675,0.0,0.0,0.43280702122012205,2.0,0.0,0.9185749292373657,1.0,1.0,0.9688094884157181
2016-02-08,0.0,0.0,0.0,0.001052525017643413,0.001052525017643413,0.41720101141332433,1.0,1.0,0.9997730851173401,1.0,1.0,0.988992969195048
2016-02-09,0.0023511595835380705,0.007275025341091035,0.0032623221774233935,0.006632898078730298,0.006632898078730298,0.43217139544305205,1.0,0.0,0.983192118731412,1.0,1.0,0.9848063815207708
2016-02-10,0.016796843465445688,0.014766319197310335,0.015230911588878376,0.011240186094241184,0.011240186094241184,0.3842130813181901,1.0,2.0,0.9995431303977966,1.0,1.0,0.9597571730613709
2016-02-11,0.013648676648234437,0.0072553572383487475,0.006035287668564038,0.007069798066101168,0.007069798066101168,0.36105464984703073,1.0,1.0,0.8741718754172325,1.0,1.0,0.9056605217249497
2016-02-12,0.012094522305861444,0.009870434313569376,0.01082680132057573,0.009155001016721204,0.009155001016721204,0.3129880697931072,1.0,2.0,0.9795909523963928,1.0,1.0,0.9480529960833097
2016-02-16,0.016796843465445688,0.010696242952532742,0.015475590951491591,0.012431738013652688,0.012431738013652688,0.26564617297403015,1.0,1.0,0.9996234476566315,1.0,1.0,0.9165474951267243
2016-02-17,0.01904837166537729,0.019799839509618666,0.01975736867479061,0.023771225065928187,0.023771225065928187,0.2999979045304052,1.0,1.0,0.9811340967814127,1.0,1.0,0.9305035090446472
